Image Path,Classification
balanced_dataset_split\train\equus asinus\equus asinus_20140107-PICT0049.JPG,Night
balanced_dataset_split\train\equus asinus\equus asinus_20140108-PICT0106.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20140109-PICT0133.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20140209-PICT0016.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20140209-PICT0018.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20140316-PICT0238.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20140316-PICT0241.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20141001-PICT1159.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20141112-PICT1696.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150708-PICT4417.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150708-PICT4418.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150708-PICT4420.JPG,Night
balanced_dataset_split\train\equus asinus\equus asinus_20150723-PICT4507.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150801-PICT4645.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150801-PICT4646.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150801-PICT4647.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150804-PICT4672.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150825-PICT4855.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150828-PICT4864.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150830-PICT4882.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150830-PICT4883.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150830-PICT4884.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20150912-PICT5053.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20151022-PICT5551.JPG,Day
balanced_dataset_split\train\equus asinus\equus asinus_20151022-PICT5552.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20091104-SUNP0087.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20091105-SUNP0131.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20091123-SUNP0641-2.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110101-PICT0032.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110101-PICT0059.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110101-PICT0075.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110102-PICT0265.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110103-PICT0398.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110104-PICT0470.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110104-PICT0474.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110104-PICT0506.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110104-PICT0507.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110104-PICT0520.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110105-PICT0712.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110105-PICT0733.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110105-PICT0737.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110106-PICT0901.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110106-PICT0910.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110106-PICT0924.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110106-PICT0953.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110107-PICT0029.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110107-PICT1154.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110108-PICT1306.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110108-PICT1342.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110110-PICT1425.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110110-PICT1435.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110110-PICT1453.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110110-PICT1458.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110110-PICT1490.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110110-PICT1508.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110110-PICT1512.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110110-PICT1555.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110111-PICT1651.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110111-PICT1655.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110111-PICT1676.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110112-PICT0054.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110112-PICT1804.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110112-PICT1829.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110112-PICT1858.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110112-PICT1873.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110112-PICT1901.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110113-PICT2089.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110113-PICT2110.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110113-PICT2146.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110113-PICT2159.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110113-PICT2170.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110114-PICT2310.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110115-PICT2353.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110116-PICT2411.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110118-PICT2693.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110120-PICT2898.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110120-PICT2958.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110125-PICT3314.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110125-PICT3371.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110126-PICT3412.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110126-PICT3417.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110126-PICT3424.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110126-PICT3432.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110127-PICT3614.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110128-PICT3664.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110129-PICT3805.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110131-PICT4222.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110131-PICT4227.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110131-PICT4248.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110201-PICT4323.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110201-PICT4325.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110201-PICT4326.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110203-PICT4654.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110204-PICT4798.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110205-PICT4877.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110205-PICT4893.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110208-PICT5188.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110208-PICT5221.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110208-PICT5228.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110208-PICT5231.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110208-PICT5239.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110208-PICT5255.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110208-PICT5275.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110208-PICT5283.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110210-PICT5474.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110210-PICT5494.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110211-PICT5746.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110213-PICT5899.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110213-PICT5903.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110214-PICT6006.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110223-PICT6569.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110224-PICT6590.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110227-PICT6679.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20110304-PICT6808.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140107-PICT0056.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140107-PICT0085.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140108-PICT0147.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140109-PICT0250.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140109-PICT0252.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140209-PICT0058.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140220-PICT0132.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140220-PICT0133.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140310-PICT0427.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140314-PICT0040.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140314-PICT0100.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140315-PICT0127.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140315-PICT0148.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140315-PICT0215.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140315-PICT0294.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140315-PICT0296.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140315-PICT0299.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140316-PICT1875.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140321-PICT3805.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140401-PICT0463.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140403-PICT6601.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140405-PICT7741.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140406-PICT7894.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140411-PICT9999.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140502-PICT0043.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140613-PICT0401.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140806-PICT0053.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140808-PICT0470.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140808-PICT0813.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140808-PICT0817.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140808-PICT0842.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140809-PICT0929.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140809-PICT1012.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140809-PICT1224.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140809-PICT1785.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140810-PICT1983.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140811-PICT2862.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140812-PICT0811.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140829-PICT0061.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140908-PICT1249.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140920-PICT0093.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140920-PICT0103.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140923-PICT0375.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140923-PICT0383.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20140924-PICT0542.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141005-PICT1765.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141006-PICT1857.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141008-PICT2109.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141009-PICT2179.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141012-PICT2435.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141015-PICT1048.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141018-PICT3086.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141021-PICT1166.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141021-PICT1173.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141023-PICT3667.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141024-PICT1219.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141028-PICT4477.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141031-PICT4899.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141031-PICT4978.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141102-PICT5261.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141102-PICT5401.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141105-PICT6289.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141126-PICT0594.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141128-EK000141.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141229-EK000186.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20141229-EK000195.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150109-PICT0390.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150117-EK000220.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150129-RCX_0273.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150205-RCX_0399.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150205-RCX_0426.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150205-RCX_0535.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150529-EK000414.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150703-EK000549.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150717-EK000603.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150723-EK000669.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150723-EK000675.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150723-EK000689.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150801-EK000747.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150801-EK000748.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150801-EK000756.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150806-PICT0221.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150808-EK000798.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150813-EK000811.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150904-EK000854.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150904-EK000859.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150904-EK000875.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20150920-PICT0141.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20151002-EK001023.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20151007-EK001097.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20151130-RCX_0035.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20151205-RCX_0094.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20160309-PICT0089.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20160317-PICT1417.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20160320-PICT2293.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170114-PICT0118.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170117-PICT0293.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170118-PICT0385.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170119-PICT0480.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170120-PICT0569.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170122-PICT0725.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170123-PICT0873.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170123-PICT1010.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170124-PICT1152.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170126-PICT1321.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170126-PICT1322.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170127-PICT1332.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170127-PICT1344.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170128-PICT1370.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170128-PICT1385.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170128-PICT1388.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170129-PICT1417.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170129-PICT1427.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170130-PICT1547.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170131-PICT1645.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170201-PICT1817.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170203-PICT1980.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170204-PICT1987.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170204-PICT2020.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170204-PICT2026.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170204-PICT2044.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170206-PICT2273.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170207-PICT2482.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170208-PICT2637.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170208-PICT2649.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170211-PICT2737.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170211-PICT2748.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170211-PICT2865.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170211-PICT2873.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170211-PICT2938.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170211-PICT2943.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170212-PICT3060.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170213-PICT3244.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170213-PICT3268.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170213-PICT3331.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170218-PICT3586.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170225-PICT3652.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170225-PICT3661.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170225-PICT3678.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170226-PICT3685.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170226-PICT3701.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170310-PICT3795.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170326-PICT3883.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170326-PICT3899.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170331-PICT3982.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170401-PICT3992.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170401-PICT3997.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170402-PICT4017.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170402-PICT4089.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170402-PICT4091.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170402-PICT4097.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170402-PICT4113.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170404-PICT4189.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170405-PICT4211.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170406-PICT4235.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170406-PICT4266.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170407-PICT4289.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170407-PICT4291.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170407-PICT4297.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170407-PICT4301.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170407-PICT4302.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170407-PICT4305.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170408-PICT4345.JPG,Night
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170409-PICT4376.JPG,Day
balanced_dataset_split\train\equus zebra hartmannae\equus zebra hartmannae_20170409-PICT4380.JPG,Day
